Santhali_word,English_words,Grammer,Audio_links
aləŋ,Tongue,Noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_09_29_2011_R_JNH_Tongue.mp3
ayo hɔɽ,woman,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU22_F_woman.mp3
ɑbo,we,pronoun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Pro11_F_we.mp3
ɑboɑʔ,our,pronoun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Pro12_F_our.mp3
ɑboɑʔ,ours,pronoun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Pro13_M_ours.mp3
ɑboɑʔ ɑr ɑm,usandyou,pronoun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Pro35_F_usandyou.mp3
ɑdiwɑsi,tribe,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU43_F_tribe.mp3
ɑɖi mɑrɑŋ,huge,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj75_M_huge_2.mp3
ɑɖi nɑpɑi,beautiful,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj7_F_beautiful.mp3
ɑjɛr,sick,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj60_M_sick.mp3
ɑk’,bow,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Cult6_M_bow_2.mp3
ɑlɑŋ,tongue,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP14_J_tongue.mp3
ɑlipe hɔɽ ɑm dəbɑm,we3+(notyou),pronoun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Pro34_F_we3.mp3
ɑm,you,pronoun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Pro14_F_you.mp3
ɑmɑʔ,your,pronoun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Pro16_F_your.mp3
ɑŋgrɑ,embers,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Cult13_F_ember.mp3
ɑpe,you(pl.),pronoun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Pro15_M_yall_2.mp3
ɑpeɑʔ,your(pl.),pronoun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Pro17_F_yalls.mp3
ɑrɑʔ,red,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Col5_M_red.mp3
ɑrɛ,nine,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Num9_M_nine.mp3
ɑrɛ gɛl,ninety,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Num90_F_ninety.mp3
ɑɽɑk’,free,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj30_M_free.mp3
ɑɽɑk’,left,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj40_F_left.mp3
ɑtuk’,village,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Cult34_F_village.mp3
ɑyo,mother,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU4_M_mother.mp3
bɑ hoɲɑrin ~ bɑ hoɲhɑrin,brother-in-law,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU26_F_brotherinlaw.mp3
bɑbɑ,father,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU3_M_father.mp3
bɑbɑt’,itch,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_O3_F_itch.mp3
bɑhɑbɑgən,flowergarden,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Cult18a_M_flowergarden_2.mp3
bɑhɑre,outside,adposition,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AdP29_F_outside.mp3
bɑiri,enemy,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU36_M_enemy_2.mp3
bɑle gidrə,baby,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU33_F_baby.mp3
bɑle gidrə,baby,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU33_F_baby.mp3
bɑnɑ,bear,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN3_M_bear.mp3
bɑnɑr,both,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj11_F_both.mp3
bɑŋ,no,adverb,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adv11_M_no.mp3
bɑr,two,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Num2_M_two.mp3
bɑr gɛl,twenty,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Num20_F_twenty.mp3
bɑrəɖɑn,toad,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN46_M_toad.mp3
bɑɽge,vegetablegarden,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Cult18_M_vegetablegarden.mp3
berel,raw,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj53_M_raw.mp3
bəbnɑ,sadly,adverb,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adv20a_F_sadly.mp3
bədəɽɑ,bat,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN2_M_bat_2.mp3
bəibəite,slowly,adverb,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adv21_F_slowly.mp3
bəitɛ,slow,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj62_M_slow.mp3
bənum,whiteanthill,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN50_M_whiteanthill_2.mp3
bəɽiʔ,bad,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj5_F_bad.mp3
bʰutʰ,ghost,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU38_F_ghost.mp3
bili,egg,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN17_M_egg.mp3
biliɑʔ,ripe,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj56_F_ripe.mp3
bin,snake,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN42_F_snake_2.mp3
bindi,spider,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN44_M_spider.mp3
bip sukri,boar,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN6_F_boar.mp3
bipiɽiəŋ,butterfly,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN7_F_butterfly_2.mp3
bir sukri,wildboar,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN51_M_wildboar.mp3
bisi jɑŋ,backbone,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP38_G_backbone.mp3
bisiʤəŋ,"JitenderNathHasda,",Speaker:,http://talkingdictionary.swarthmore.edu/santali/?entry=453
bitrire,in,adposition,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AdP19_F_in.mp3
biʈire ~ bitire,among,adposition,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AdP3_F_among.mp3
